,country,description,points,price,province,title,variety,winery
57930,France,"With its extra touch of richness and a feeling of maturity, this remains a benchmark nonvintage Champagne. It has flavors of ripe white fruits, balancing acidity with just a touch of final softness.",90,50.0,Champagne,Pol Roger NV Extra Cuvée de Réserve White Foil Brut  (Champagne),Champagne Blend,Pol Roger
58144,US,"This blush sparkling wine is made from Chardonnay, Sauvignon Blanc, Pinot Noir and Moscato, offering simple, slightly sweet flavors of raspberries, oranges, vanilla, smoke and yeast. The bubbles scour the palate a bit.",84,18.0,California,Ca' Momi NV Ca' Rosa Sparkling (California),Sparkling Blend,Ca' Momi
58160,US,"Sharp and jammy, this has raspberry, peppermint and white pepper flavors. The name means “little kisses” in Spanish.",84,15.0,California,Besitos NV Red (California),Red Blend,Besitos
58166,US,"Crisp, citrusy acidity gives a sense of balance to the honey-sweet lime, lemon and pear flavors. It's an easy wine to drink now.",84,11.0,California,Middle Sister NV Drama Queen Pinot Grigio (California),Pinot Grigio,Middle Sister
58169,Austria,"This medium-sweet, fruity wine has just the right amount of sparkle. It's as bright as a spring day, with a touch of crispness to keep it fresh.",84,17.0,Österreichischer Sekt,Pratsch NV Frizzante Halbtrocken Rosé Sparkling (Österreichischer Sekt),Sparkling Blend,Pratsch
58201,US,"The aromas of pear, spice and tropical fruit lead to well-balanced flavors with a kiss of sweetness. This sparkler delivers a lot of quality and value.",88,13.0,Washington,Michelle NV Brut Sparkling (Columbia Valley (WA)),Sparkling Blend,Michelle
58202,Italy,"White flower and Granny Smith apple aromas come together on this refreshing sparkler. The racy palate offers crisp Bartlett pear and green apple alongside small, persistent bubbles.",88,20.0,Veneto,Mionetto NV Extra Dry  (Valdobbiadene Prosecco Superiore),Glera,Mionetto
58272,Italy,Simple fruit and citrus flavors segue to soft layers of creamy mousse and tangerine. This playful Italian sparkler would taste great next to toasted bread with smoked salmon appetizers or grilled shrimp.,86,16.0,Veneto,La Farra NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,La Farra
58337,US,"Blackberry liqueur and char flavors are bolstered by mouth-coating tannins and plush acids. A stout wine, this craves to be paired with a platter of grilled meats.",87,45.0,Virginia,Jefferson Vineyards NV Rsv. Meritage (Virginia),Meritage,Jefferson Vineyards
58472,France,A very vivid impression of tart red currant on the nose soon attains a creamy edge. The palate has beautiful purity of fruit: Red currant heightened by vivid citrus freshness. There is something weightless and wonderfully light about this with its really fine mousse—a sophisticated dry apéritif with a wonderful and long aftertaste of tart red apple.,92,30.0,Alsace,René Muré NV Rosé Sparkling (Crémant d'Alsace),Sparkling Blend,René Muré
58480,France,"The small Sézanne region of Champagne is known for its Chardonnay (as exemplified by this wine) with its crisp mineral texture. The apple-skin and green-plum flavors are given an edge by the tight acidity and dryness. It could do with another few months in bottle, so drink this bottling from 2018.",92,70.0,Champagne,Le Brun de Neuville NV Authentique Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Le Brun de Neuville
58493,France,"The wine comes from the Grand Cru village of Chouilly in the Chardonnay vineyards of the Côte des Blancs. It is crisp, mineral textured and still developing. Bright acidity and lemon-zest flavors give this wine its lively and also full-bodied character. Drink from 2018.",92,54.0,Champagne,A.R. Lenoble  NV Grand Cru Blanc de Blancs Chouilly Brut Chardonnay (Champagne),Chardonnay,A.R. Lenoble 
58533,France,"Part of the Thienot Champagne group, Canard-Dûchene is only now getting distribution in this country. This top Blanc de Blancs is rich, full-bodied with some softness, but also retaining a good mineral, tight texture.",87,60.0,Champagne,Canard-Duchêne NV Charles VII Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Canard-Duchêne
58541,France,"A wine for all tastes, full enough for food, fresh enough as an apéritif, flavored with strawberry juice and a lemonade freshness. It's easy to drink, finely integrated, and a crisp, but soft aftertaste.",87,55.0,Champagne,Moët & Chandon NV Rosé Impérial  (Champagne),Champagne Blend,Moët & Chandon
58545,France,"Despite the initial sharp edge, this does develop into a fresh, fruity style of wine. The one problem is that the bottling of the sample tasted seems too recent, and it needs several months to ripen and blend. Keep for 3–6 months.",87,60.0,Champagne,Thiénot NV Brut Rosé  (Champagne),Champagne Blend,Thiénot
58685,Italy,"This Prosecco Extra Dry, made from organically grown grapes, lacks tonic freshness but delivers flatter, broader tones of peanut skin and mature stone fruit. It has almond flavors backed by stone fruit and a slightly sour note on the finish.",84,22.0,Veneto,Perlage NV Col di Manza Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Perlage
58697,Italy,"Despite its beautiful, luminous appearance, the nose of this Prosecco Brut is accented by a slightly pungent tone of almond skin or peanut that almost completely blows away with time. It is a streamlined, compact sparkler with crisp lime on the close.",83,19.0,Veneto,Varaschin NV Brut  (Prosecco di Valdobbiadene),Prosecco,Varaschin
58738,US,"This fascinating nonvintage solera blend of Syrah, Cabernet Sauvignon and Cabernet Franc from five vintages (2010–2014) offers elegant touches of licorice, blackcurrant and lavender on the deep nose. Blackberry, cedar, sandalwood and incense flavors mesh with a dried tea-leaf element on the palate.",91,55.0,California,Left Bend NV Mashup v. 2 Red (Santa Cruz Mountains),Red Blend,Left Bend
58778,Austria,"A nose of honeyed autolysis is most inviting, while the palate does not disappoint with its bready notes of citrus, fine persistent bubbles and round mouthfeel, yet with that wonderfully zesty focus of acidity. This delivers exactly where it should—on the midpalate and the long, superclean finish that leaves lingering notes of lemon shortbread.",91,29.0,Österreichischer Sekt,Schloss Gobelsburg NV Brut Reserve Sparkling (Österreichischer Sekt),Sparkling Blend,Schloss Gobelsburg
58786,Chile,"This multivintage, Cabernet Sauvignon-led blend deals tobacco, cedar, olive, tomato and spice aromas along with earthy berry notes. The palate has a tartaric imprint, while flavors of vanilla, blackberry, cassis and green herbs finish oaky and with plenty of leftover vanilla and tobacco. Drink through 2020.",91,56.0,Central Valley,Valdivieso NV Caballo Loco Number Fourteen Red (Central Valley),Red Blend,Valdivieso
58809,Spain,"Bready, dusty aromas of baked apple come across loud and chunky. The palate is juicy at its core but low on bubbles, while flavors of citrus, baked apple and yeast finish long and toasty, with some richness.",86,15.0,Catalonia,Montevicor NV Sparkling (Cava),Sparkling Blend,Montevicor
58984,France,"Fresh, with the attractive cool feel that's typical of the Loire, this is a red currant and raspberry flavored wine. It is fruity, just lightly structured and with a fine tang of citrus to finish.",88,18.0,Loire Valley,Monmousseau NV Cuvée J.M. Rosé Brut Sparkling (Touraine),Sparkling Blend,Monmousseau
59006,France,This palest pink-colored wine is equally light and fresh to taste. It has a crisp raspberry flavor with a zest of orange squeezed over it. It's delicious.,88,20.0,Loire Valley,Louis de Grenelle NV Rosé Brut  (Saumur),Sparkling Blend,Louis de Grenelle
59011,France,"This is a soft Champagne—more like a wine with bubbles than a crisp apéritif. With its relatively high dosage and ripe red fruit, it's rich up front, cleaning up with acidity on the finish. Keep for a few more months and drink from 2018.",91,85.0,Champagne,Gosset NV Grand Rosé Brut  (Champagne),Champagne Blend,Gosset
59014,France,"This cuvée is based on the 2014 vintage, with 40% reserve wine added for richness and maturity. It delivers intense red fruit along with equally intense acidity. With the dry crispness that's a hallmark of the producer, it's balanced, and bright, with a mineral texture.",91,50.0,Champagne,Huré Frères NV Insouciance Brut Rosé  (Champagne),Champagne Blend,Huré Frères
59017,France,"Blended from Grand Cru and Premier Cru vineyards in the Côte des Blancs, this Champagne is rounded, with a healthy dose of acidity and plenty of textured minerality. Its creamy mousse lends a smooth character to balanced that texture. Drink this refreshing wine now.",91,70.0,Champagne,Brimoncourt NV Blanc de Blancs Brut  (Champagne),Champagne Blend,Brimoncourt
59109,France,"This is a beautifully balanced and elegant offering, with pleasant fruitiness, tight acidity and a fragrant, crisp character. It's full bodied, and falls in the middle of the brut spectrum of dryness. This is ready to drink now.",92,70.0,Champagne,Charles Heidsieck NV Brut Rosé Réserve  (Champagne),Champagne Blend,Charles Heidsieck
59118,France,"The classic Bollinger nonvintage is, as always, rich and firmly structured. With the roundness that comes from aging the wines in wood before blending, it has a ripe, smooth edge. Underneath, the texture is solid, with hints of apple and pear and mature acidity.",92,90.0,Champagne,Bollinger NV Special Cuvée Brut  (Champagne),Champagne Blend,Bollinger
59140,Italy,"With no vintage or appellation other than Italy, this cheerful blend of Primitivo, Montepulciano, Nero d'Avola and Merlot represents a blend that's sourced from sites across southern Italy. The nose shows jammy raspberry aromas while the close is soft and chewy.",85,10.0,Italy Other,Piccini NV Memòro Red (Italy),Red Blend,Piccini
59283,US,"Almost as dark as a red wine, with hard, astringent tannins. But it is dry, as the label says, and offers modest cherryskin and earthy flavors.",83,15.0,California,Westbrook Wine Farm NV Rosato Romantico Rosé (Madera),Rosé,Westbrook Wine Farm
59324,US,"This 100% Pinot Noir is full-bodied and rich, with raspberry, cherry, yeast, toast and vanilla flavors that finish sweet and honeyed. The mouthfeel is soft and silky. Lovely for drinking now, as a toast or just Sunday brunch.",89,30.0,California,Breathless NV Blanc de Noirs Sparkling (Sonoma County),Sparkling Blend,Breathless
59443,US,"Made in the easy, crisp and affordable style that has made this variety so popular, this Pinot Grigio has fruity flavors of peaches, apricots, apples, pineapples, tangerines and vanilla, with a spicy, honeyed finish.",85,6.0,California,Barefoot Cellars NV Pinot Grigio (California),Pinot Grigio,Barefoot Cellars
59458,US,"Very crisp, refreshing and nicely dry, this light copper-colored wine surrounds a core of fresh raspberry flavors with light spicy nuances and a texture that turns vibrant bubbles into a creamy sensation on the finish.",90,23.0,California,Scharffenberger NV Brut Rosé Excellence Sparkling (Mendocino County),Sparkling Blend,Scharffenberger
59464,Portugal,"Aged in small and larger barrels for an average of 20 years, the wine is beautifully poised between fruit and old gold intensity. It is rich, with dark marmalade flavors, orange peel and spice. The intense acidity keeps some crispness to this intense, dry and concentrated wine. Drink now.",90,39.0,Port,Borges NV Quinta da Soalheira 20 Years Old Tawny  (Port),Port,Borges
59499,Portugal,"This sweet sparkling rosé is clean and crisp. It has attractive strawberry fruit, soft texture and a light mousse. Drink now.",83,7.0,Tejo,Adega Cooperativa do Cartaxo NV Plexus Rosé Castelão (Tejo),Castelão,Adega Cooperativa do Cartaxo
59507,US,"Sweet and fruity, this canned wine feels soft and syrupy, with sugary pear as the primary flavor on the palate. It's a basic white wine in a convenient package.",83,4.0,California,Pam's Cuties NV Unoaked Chardonnay (California),Chardonnay,Pam's Cuties
59598,US,"This 100% Chardonnay is off dry, with honey, orange, vanilla and yeast flavors. The bubbles are scoury and clean. Drink up.",86,22.0,California,Gloria Ferrer NV Blanc de Blancs Sparkling (Carneros),Sparkling Blend,Gloria Ferrer
59601,US,"A blend of 80% Vidal Blanc and 20% Riesling, this has scents of caramelized white orchard fruit, baguette and button-mushroom cap. The pliable, medium-bodied palate tastes off dry, and it's detailed with a quince-paste note that adds extra appeal.",86,26.0,Virginia,Valerie Hill NV Manor House White (Virginia),White Blend,Valerie Hill
59666,Spain,"Initial bready aromas settle on sweet apple. In the mouth, this has a confected feel balanced by acidity. Flavors run short and candied, with accents of peach and lychee, while a melony, sugary tasting finish is saved by lasting acidity.",84,14.0,Catalonia,Paul Cheneau NV Demi Sec Sparkling (Cava),Sparkling Blend,Paul Cheneau
59746,US,"This non-vintage blend of Sémillon, Chardonnay, Gewurztraminer, Pinot Gris, and Sylvaner does not simply turn generic. Off-dry and nicely balanced, it captures some special nuance of each component grape – flower, clay, stone fruit and bracing acidity.",87,10.0,America,David Hill NV Farmhouse White White (America),White Blend,David Hill
59756,US,"Nice and dry, with citrus flavors backed up with bright acidity that gets your tastebuds whistling. It's a wine that calls for goat cheese, grilled veggies, sourdough baguettes, fried chicken, cold cuts and fresh fruit. In other words, a picnic.",87,7.0,California,Barefoot Cellars NV Sauvignon Blanc (California),Sauvignon Blanc,Barefoot Cellars
59772,US,"Full-bodied for a bubbly and slightly sweet, with forward flavors of cherries, strawberries, vanilla and brioche. Balanced with crisp acidity.",86,12.0,California,Korbel NV Blanc de Noirs Sparkling (California),Sparkling Blend,Korbel
59780,US,"Actually a little on the sweet side, this pleasant brut-style wine has rich flavors of limes, peaches, vanilla and spice, with a bracing scour of bubbles.",86,12.0,California,Korbel NV Extra Dry Sparkling (California),Sparkling Blend,Korbel
59855,France,"There is a savory touch of salt and herb amidst the fruity mirabelle plum notes on the nose. The palate shows a lovely background of autolytic richness, akin to sponge and rye bread and also has a piquant salty accent that entices all the way to the lemony bright finish. The mousse is fine and elegant, the finish is long and dry.",92,25.0,Alsace,René Muré NV Cuvée Prestige Brut Sparkling (Crémant d'Alsace),Sparkling Blend,René Muré
59857,England,"This wine brims with fruit and freshness. A host of apple notions comes alive on nose and palate: The appetizing, ripe tartness of Cox Orange Pippin, the mouthwatering crispness of Granny Smith and the mellowness of Golden Delicous. It has a refreshing, open honesty, juicy and totally inviting. Underneath all that allure lies rich autolysis, underlined by a fine, creamy mousse. Flavors and freshness linger.",92,27.0,England,Ridgeview Estate NV Bloomsbury Brut Sparkling (England),Sparkling Blend,Ridgeview Estate
59864,France,"Red apple and brioche aromas are tinged with lemon. The palate has the same fruit, richness and freshness, but expresses this with lightness and ease. It's a versatile sparkler, ideal for both apéritif and dinner. The finish is dry, balanced and elegant.",92,40.0,Alsace,Cave de Turckheim NV Mayerling Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Cave de Turckheim
59868,France,"Based in the Chardonnay region of the Côte des Blancs, it's no surprise that this producer has a dominance of that grape in its blend. The wine has great minerality as well as tight acidity and delicious citrus flavors. It's a dry, finely balanced wine to drink now.",92,57.0,Champagne,Delamotte NV Brut  (Champagne),Champagne Blend,Delamotte
59870,France,"The mix of fresh crisp apple and shortbread notes on the nose is a delight. The same interplay of fresh, ripe and crisp apple fruit and the more developed richer notes of autolysis continue on the light and dry palate, supported by lively fine fizzing mousse. Inherent freshness brightens the entire palate while the long shortbread-tinged aftertaste makes for a very elegant finish. Lovely.",92,25.0,Alsace,Domaine Charles Baur NV Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Domaine Charles Baur
59871,France,"A touch of dried citrus peel on the nose suggests slight development. The palate adds judicious weight and backbone in the form of very fine creamy mousse and a lovely structure that holds mellow apple fruit and bright citrus. The finish is dry, fresh but mellow. Both autolysis and lemon freshness become apparent on the long aftertaste. It's a sophisticated, refreshing but rounded winter time apéritif.",92,19.0,Alsace,Domaine Fernand Engel NV Tradition Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Domaine Fernand Engel
60074,France,"This is a ripe wine, shot through with acidity but also with softer pear and ripe apple flavors. It is tangy, made to be drunk young and fruity with a bright, celebratory aftertaste.",86,20.0,Loire Valley,Cave de Saumur NV La Petite Marquise Brut Sparkling (Crémant de Loire),Sparkling Blend,Cave de Saumur
60128,Argentina,"Smoky, yeasty aromas of burnt orange are spicy and good. This shows a citrusy palate with give and depth along with nectarine, yeast and smoky flavors. Toasty barrel influences are noticeable on the finish, which is moderately sophisticated.",87,29.0,Mendoza Province,Ruca Malen NV Brut Sparkling (Mendoza),Sparkling Blend,Ruca Malen
60149,Portugal,"Sweet, toffee aromas lead to an equally sweet wine. It has richness, a very smooth, soft texture that coats the mouth with toffee, treacle and only a hint of blackberry fruits. Dried fruits come through in the aftertaste.",84,119.0,Port,Burmester NV Sotto Voce Reserve  (Port),Port,Burmester
60261,US,A distinct pink color and overtly fruity flavors combine with strong bubbles. The wine has vivid red-cherry and raspberry flavors and a bit of the texture of a red wine.,87,25.0,California,Biltmore Estate NV Blanc de Noir Sparkling (California),Sparkling Blend,Biltmore Estate
60322,US,"Don't let the evil-eye label scare you off. An earthy, beefy flavor gives this dry and medium-bodied wine a bit of an unusual but attractive personality. It feels firm and well-balanced on the palate, with good acidity and firm tannins.",86,15.0,California,Wine Saur NV Vinasaurus Rex Red (Sierra Foothills),Red Blend,Wine Saur
60445,Italy,"Aromas of this inky-purple wine include black plum, pencil shaving and cassis. The palate offers crushed black cherry, blueberry, spice and a hint of candied nectarine alongside brisk acidity and feisty tannins. Kermit Lynch Wine Merchants, Estelle Imports.",86,18.0,Central Italy,Fattoria Moretto NV Frizzante  (Lambrusco Grasparossa di Castelvetro),Lambrusco Grasparossa,Fattoria Moretto
60508,Spain,"Rooty berry and coffee aromas are medicinal. This feels punchy due to stark acidity. Flavors of oaky red plum and currant finish similarly, and while this Rioja isn't bothersome it's raw throughout.",84,11.0,Northern Spain,Castillo de Fuenmayor NV Gran Familia  (Rioja),Tempranillo,Castillo de Fuenmayor
60644,France,"Very crisp and very fresh, this thrives on its bright sliced apple flavors. A tight texture gives a lemon tang. It's still young and should be given until late 2015.",89,50.0,Champagne,Veuve Doussot NV Grande Cuvée Brut  (Champagne),Champagne Blend,Veuve Doussot
60648,US,This aromatic sparkler has appealing notes of kiwi and pineapple. It drinks dry with abundant fruit and spice flavors.,89,19.0,Washington,Pacific Rim NV Flowers Brut Méthode Champenoise Riesling (Washington),Riesling,Pacific Rim
60729,France,"Both citrus and apple notes are dulled by very earthy notes. The slender palate frothes softly but does not provide more fruit, either. This is dry and muted, but fresh.",84,21.0,Alsace,Pierre Sparr NV Réserve Sparkling (Crémant d'Alsace),Sparkling Blend,Pierre Sparr
60773,Spain,"This seems to be an attempt to mock the Moscato d'Asti style from Italy, but it doesn't quite pull it off. The nose is powdery and full of gardenias, but the feel is thick and it doesn't have that clean, ethereal personality that the best Moscatos exhibit. Not a bad wine by any means, and probably best with desserts.",84,12.0,Levante,Anecoop NV Flare Método Charmat Moscatel (Valencia),Moscatel,Anecoop
60774,Spain,"The bouquet seems nutty and salinic, and overall this extra dry (meaning fairly sweet) focuses on soft and sugary mango and melon flavors. It's not as lively as it needs to be to balance the sweetness, so ultimately the wine comes up a touch flat. Imported by Freixenet USA.",84,12.0,Catalonia,Segura Viudas NV Aria Estate Extra Dry Sparkling (Cava),Sparkling Blend,Segura Viudas
60788,France,"This is on the fullish side, lacking crispness and refreshment factor. Fortunately, the ripe apple and pear flavors are charming enough to pull it through.",83,13.0,France Other,Pierre Sparr NV Marquis de Perlade Blanc de Blancs Brut Sparkling (Vin Mousseux),Sparkling Blend,Pierre Sparr
60915,Spain,"A smooth and coaxing Sherry with almond and dried fruit aromas that lead perfectly to toffee and almond flavors. There's more dryness than fruit here, with peanut brittle accents and then a long, smoky finish that doesn't lose focus. Graceful Oloroso, with a nice individual character.",91,18.0,Andalucia,González Byass NV Cristina Oloroso Abacado Sherry (Jerez),Sherry,González Byass
61011,US,"Notes of pressed apple and burnt sugar on the nose and palate of this sparkler made entirely of Seyval Blanc grapes are reminiscent of a dry, French apple cider. Juicy and full bodied with a stout frame and frothy, medium-sized bubbles.",84,30.0,New York,Clinton NV Jubilee Sparkling (Hudson River Region),Sparkling Blend,Clinton
61020,US,"Subtly nutty on the nose with a hint of lemony perfume, this Chardonnay sparkler is pleasantly brisk but a little dilute on the palate. Small bubbles are soft and gently mouthfilling.",84,11.0,New York,Brotherhood NV Blanc de Blancs Brut Chardonnay (New York),Chardonnay,Brotherhood
61024,Australia,"Comes across as a bit sweet and soft, with tropical fruit and a lush, creamy texture. Clean and well made, but lacks complexity and length.",84,10.0,Australia Other,De Bortoli NV Emeri Sparkling Pinot Grigio Sparkling (South Eastern Australia),Sparkling Blend,De Bortoli
61025,US,Extra Dry is almost indistinguishable from its Brut; not noticeably sweet. But there is a somewhat soft quality that mars the finish.,84,12.0,Washington,Domaine Ste. Michelle NV Extra Dry Sparkling (Columbia Valley (WA)),Sparkling Blend,Domaine Ste. Michelle
61184,Spain,"Pine resin and a light, oily brine character define the nose on this lithe, fresh fino. Crisp acidity and healthy weight mesh into balance on an easy-to-navigate palate. Flavors of almond, sea brine and toffee finish crisp.",90,34.0,Andalucia,González Byass NV Fino Una Palma Sherry (Jerez),Sherry,González Byass
61185,Spain,"This amontillado smells complete, with a tight aromatic mix of raw wood, brine, citrus and dried stone fruits. The palate is racy, with razor-like acidity. Intense flavors of dried apricot, tart nectarine and almond skins finish full  and lasting, with cutting acidity.",90,26.0,Andalucia,González Byass NV Viña AB Amontillado Seco Palomino (Jerez),Palomino,González Byass
61233,US,"An easy to like wine, this shows Moscato's orange fruit flavors, with the scouring carbonation of soda. It's very sweet, clean and appealing, and with only 10% alcohol by volume, it's the perfect beach wine.",87,15.0,California,Allure NV Bubbly Moscato (California),Moscato,Allure
61234,US,"Allure is a line of carbonated sparkling wines from Bronco Wine Company. This is bubbly and crisp, with sweet raspberry, cream and vanilla flavors.",87,15.0,California,Allure NV Bubbly Pink Moscato (California),Moscato,Allure
61270,Spain,"This is your quintessential simple quaff among brut cavas. It's clean, lime-tinged and soda-like on the nose, with a correct, no-issues palate that pushes zesty apple along with sweet papaya, mango and banana flavors. It's slightly sweet and tropical, but still it holds onto its crisp qualities and dryness. No complaints for the money.",87,12.0,Catalonia,Freixenet NV Cordon Negro Brut Sparkling (Cava),Sparkling Blend,Freixenet
61271,Spain,"For a rosado cava, this offers nice fruit, balance and complexity. The nose is pure cherry and raspberry, but in subdued doses. Meanwhile, it's zesty, foamy and fresh in the mouth, with nectarine, plum, strawberry and prickle. Perfectly nice for everyday quaffing.",87,12.0,Catalonia,Freixenet NV Cordon Rosado Brut Sparkling (Cava),Sparkling Blend,Freixenet
61281,US,"A nice everyday sparkler. It's a little sweet and very forward in lime and strawberry flavors, with the yeast and toast complications of a fine sparkling wine.",87,22.0,California,Gloria Ferrer NV VA de VI Ultra Cuvée Sparkling (Sonoma County),Sparkling Blend,Gloria Ferrer
61311,US,"This late-harvest style wine has a rich amber color plus concentrated aromas of honey, toasted nuts and apricot. Sweet, mouthcoating flavors are nutty, spicy and long-lasting on the finish. Fortified for extra body and alcohol, the wine is super sweet.",88,20.0,California,Joseph Filippi NV Dulce Lagrimas de Elisa Chenin Blanc (California),Chenin Blanc,Joseph Filippi
61350,France,"Light, fruity and medium sweet, this is a pleasant, strawberry-flavored sparkling wine that lacks some acidity. It's best as an apéritif.",83,12.0,France Other,Marquis de la Tour NV Rosé Brut Sparkling (Vin Mousseux),Sparkling Blend,Marquis de la Tour
61359,US,"This is a simple wine, your basic country red. If it were from Italy, you'd drink it from a carafe, overlooking some beautiful scenery. Dry and tannic, it has earthy-berry flavors and a spicy finish.",83,12.0,California,Fess Parker NV Frontier Red Lot No. 90 Red (California),Rhône-style Red Blend,Fess Parker
61376,France,This is the driest of the wines in this producer's range. A high proportion of Pinot Meunier gives it fruitiness to balance the dryness. It is light and poised with white fruits and good acidity. The mineral texture makes this balanced Champagne a match with many salty foods.,91,60.0,Champagne,Besserat de Bellefon NV Cuvée des Moines Extra Brut  (Champagne),Champagne Blend,Besserat de Bellefon
61597,US,"Tempting fruit and spice aromas come up with the finely textured bubbles. The flavors are layered, intricate and rich, suggesting red cherries, crisp apples, cinnamon and more. A light salmon color makes this look like a rosé but it's not labeled as such. It's generous, complex and delicious.",90,25.0,California,Breathless NV Brut Sparkling (North Coast),Sparkling Blend,Breathless
61598,France,"This delicately colored rosé is made by adding red wine to Chardonnay, allowed in the Champagne region, and hence the name Rosé des Blancs. It's a new venture for Gimonnet, under the current direction of Didier Gimonnet, and is a great success. Fruity, crisp and steely. it is light and bright; a fine apéritif style.",90,69.0,Champagne,Pierre Gimonnet et Fils NV Rosé des Blancs Premier Cru Brut  (Champagne),Champagne Blend,Pierre Gimonnet et Fils
61603,France,"Fresh and crisp, this is bright with acidity as well as warmer fruitiness. It brings out the dry Laurent-Perrier style, balanced by soft creamed apples and fragrant acidity. Light and fruity at the end, it is ready to drink.",90,45.0,Champagne,Laurent-Perrier NV LP Brut  (Champagne),Champagne Blend,Laurent-Perrier
61605,France,"The wine has all the right crispness and steeliness of a Blanc de Blancs Chardonnay. It also has warmth, yellow fruits along with a touch of apple. That makes a wine that is full-bodied while not missing out on a tight, very fresh aftertaste.",90,50.0,Champagne,Tendil & Lombardi NV Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Tendil & Lombardi
61613,France,"Grape growers since the end of the 18th century, the Dautel and Cadot families are based in the Aube area of Champagne. The family began making their own Champagne in 1971; now Sylvain Dautel works the vineyard by hand and makes the wine for this small maison. Full-bodied, this has touches of toast from the five years bottle age. The rich fruit also allows plenty of tight acidity into the mix. Drink this mature, well-balanced wine now.",90,75.0,Champagne,Dautel-Cadot NV Cuvée Prestige Brut  (Champagne),Champagne Blend,Dautel-Cadot
61614,Portugal,"With a great balance between fruit and acidity, this is just what a 10-Year-Old tawny should be. Ripe fruits are cut by acidity and given a shot of wood aging. Spice and old gold flavors lead to a delicious fresh aftertaste.",90,30.0,Port,Delaforce NV His Eminence's Choice 10-Years-Old Tawny  (Port),Port,Delaforce
61616,Italy,"From one of Trento's leading wineries, this salmon-colored wine made from Pinot Nero and Chardonnay opens with aromas of rose, red berry and a whiff of nut paste. The palate displays more Pinot Nero, with wild cherry, strawberry and graphite flavors alongside a vibrant perlage and brisk acidity.",90,35.0,Northeastern Italy,Ferrari NV Rosé Sparkling (Trento),Sparkling Blend,Ferrari
61626,Spain,"A unique and individual style of Sherry, even among palo cortados. It's dark amber in color, with a pungent mix of aromas that include molasses, raw brown sugar, chocolate and campfire. Feels fresh on the tongue, with coffee, dark chocolate and core peach and citrus flavors.",91,49.0,Andalucia,González Byass NV Apostoles Palo Cortado Viejo Sherry (Jerez),Sherry,González Byass
61628,Spain,"Light in color, with pecan pie aromas. There's nothing heavy or blowsy about this refined palo cortado; it's tight in the mouth, with narrowing acidity and tangy, oily flavors of citrus, almond and rancio. Long as they come on the finish, with zero excess weight.",91,42.0,Andalucia,Hidalgo NV Marqués de Rodil Palo Cortado Sherry (Jerez),Sherry,Hidalgo
61654,France,"Vines on the southern slopes of the Montagne de Reims have given this wine a soft character and ripe fruitiness. Fresh baked apples and bright acidity are right out front to produce a refreshing, accessible wine that is ready to drink now.",87,40.0,Champagne,Autréau de Champillon NV Premier Cru Brut  (Champagne),Champagne Blend,Autréau de Champillon
61660,Italy,"Heady floral scents of wisteria, jasmine and hawthorn lead the way. The bright, frothy palate doles out crisp green apple, Bartlett pear and a hint of lime alongside a foaming mousse.",87,26.0,Veneto,Masottina NV Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Masottina
61661,Italy,"Delicately scented, this vivacious sparkler offers aromas of wisteria, wild flowers and white tree fruit. The vibrant palate offers crisp green apple and pear alongside racy acidity and brisk bubbles.",87,26.0,Veneto,Merotto NV Bareta Brut  (Valdobbiadene Prosecco Superiore),Glera,Merotto
61662,Spain,"Soft, ripe, earthy aromas of sweet stone fruits and melon turn a bit soapy as this breathes out. Foamy and overactive, this rosé is chunky on the palate, with flavors of nectarine and brown sugar that finish round and easy.",87,28.0,Catalonia,Mestres NV Reserva Especial Rosé Sparkling (Cava),Sparkling Blend,Mestres
61669,Italy,"Aromas of jasmine and white orchard fruit lead the nose on this straightforward sparkler. The bright palate offers crisp green apple, kiwi and white peach accompanied by a frothy mousse.",87,17.0,Veneto,Raphael Dal Bo NV Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Raphael Dal Bo
61671,France,"Sec is less dry than Brut in Champagne doublespeak, and so this is a soft wine that brings out perfumed red fruits and attractive acidity without great crispness. That makes for an attractive apéritif style, with a ripe aftertaste.",87,95.0,Champagne,Taittinger NV Nocturne Rosé Sec  (Champagne),Champagne Blend,Taittinger
61673,France,"This richly colored, rich-tasting wine has a lively mousse and ripe strawberry flavors. The palate is all about fruitiness, smooth and with just a light tang of orange zest at the end.",87,63.0,Champagne,Jean Laurent NV Brut Rosé  (Champagne),Champagne Blend,Jean Laurent
61674,France,"This is a soft, rounded and immediately accessible wine. Ripe apple and crisp green-plum flavors are balanced with a softness from the dosage. Ready to drink, the wine is freshly fruity with a lively mousse and creamy aftertaste.",87,37.0,Champagne,Georges Lacombe NV Grand Cuvée Brut  (Champagne),Champagne Blend,Georges Lacombe
